,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
46,Employé de bureau, Santé et action sociale ,1,12/03/2024,non spécifié, NADOR ,CI,non spécifié,Baccalauréat,non spécifié,"Arabe : Bon, Francais : Moyen",non spécifié
47,Menuisier., Construction ,3,12/03/2024,01/04/2024, Youssoufia,CDD,Le salaire proposé est le Smig et selon l'expérience. Le diplôme n'est pas exigé. L'expérience est exigée par l'employeur.,non spécifié,non spécifié,non spécifié,non spécifié
48,Magasinier d'entrepôt, Autres ,1,12/03/2024,non spécifié, ZAGORA,CDD,Magasinier Taches: Gestion Des Stock Et DES livraisons Type de contrat :CDD Lieu de Travail: SIDI GHANEM 3 Marrakech Salaire: Entre 3000 et 4000 ,non spécifié,non spécifié,Francais : Bon,non spécifié
49,"Opérateur sur machine de finition, contrôle et conditionnement (verre)", Autres ,2,12/03/2024,01/04/2024, ZAGORA,CDD,OPERATEUR DE CENTRE USINAGE Lieu de travail:Sidi ghanem 3 Marrakech salaire :entre 3000 et 4000 dh ,Sans diplôme,non spécifié,non spécifié,non spécifié
50,Responsable commercial, Autres ,2,12/03/2024,01/04/2024, ZAGORA,CDD,Lieu de travail: Sidi Ghanem 3 Marrakech salaire entre 3000 et 5000 dh ,"Technicien spécialisé ,Dessin de bâtiment ",non spécifié,Francais : Bon,non spécifié
51,Conducteur de four de verrerie, Autres ,2,12/03/2024,01/04/2024, ZAGORA,CDD,lieu de travail : Sidi Ghanem 3 Marrakech Salaire entre 3000 et 4000 dh ,non spécifié,non spécifié,non spécifié,non spécifié
52,Agent d'encadrement (verre), Autres ,2,12/03/2024,01/04/2024, ZAGORA,CDD,OPERATEUR DE RECTILING LIEU DE TRAVAIL: SIDI GHANEM 3 Marrakech SALIRE: ENTRE 3000 ET 4000 DH ,non spécifié,non spécifié,non spécifié,non spécifié
53,"Opérateur sur machine de finition, contrôle et conditionnement (verre)", Autres ,1,12/03/2024,non spécifié, ZAGORA,CDD,lieu de travail : Sidi Ghanem3 Marrakech Salaire entre : 3000 et 4000 dh ,non spécifié,non spécifié,non spécifié,non spécifié
54,"Opérateur sur machine de finition, contrôle et conditionnement (verre)", Autres ,2,12/03/2024,01/04/2024, ZAGORA,CDD,Operateur de ligne de double vitrage Lieu de travail:SIDI GHANEM 3 Marrakech Etre 3000 et 4000 dh ,Diplôme de qualification professionnelle,non spécifié,non spécifié,non spécifié
55,Assistant du Bâtiment et travaux publics, Construction ,1,12/03/2024,non spécifié, MEKNES-EL MENZEH,CDD,- SUIVI ET DEPLACEMENT AUX CHANTIERS SUR MEKNES - CHEF DE CHANTIER DE TOUT PROJET DE CONSTRUCTION,Technicien spécialisé,non spécifié,"Francais : Moyen, Arabe : Moyen",non spécifié
56,"Maintenicien des systèmes thermiques, climatiques et frigorifiques", Industries alimentaires ,1,12/03/2024,non spécifié, LAAYOUNE ,CDD,non spécifié,"Technicien ,Froid commercial et climatisation ",(6 mois - 1 an),Arabe : Langue maternelle,non spécifié
57,Agent de sécurité et de surveillance, Autres ,6,12/03/2024,non spécifié, OUAZZANE,CDD,non spécifié,Sans diplôme,non spécifié,non spécifié,non spécifié
58,Technicien de génie rural, Construction ,6,12/03/2024,01/04/2024, MARRAKECH GUELIZ-ENNAKHIL,CDD,non spécifié,"Technicien spécialisé ,Hydraulique ",(moins de 6 mois),"Francais : Bon, Arabe : Courant",non spécifié
59,Employé polyvalent de restauration , Hôtellerie et restauration ,30,12/03/2024,non spécifié, BENI MELLAL ,CDD,"-Satisfaire le client en exécutant les tâches de préparation, de production, de nettoyage et de service au comptoir dans le respect des normes en vigueur. - Participer au travail collectif de mise en place du service; - Prendre les commandes et les transmettre en cuisine.","Diplôme de qualification professionnelle ,Agent de restauration ",non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
